摇车儿里的爷爷，拄拐棍儿的孙子,搖車兒裡的爺爺，拄拐棍兒的孫子
大白日里借不出个干灯盏来,大白日裡借不出個乾燈盞來
大缸里翻油，沿路拾芝麻,大缸裡翻油，沿路拾芝麻
水里水里来，火里火里去,水裡水裡來，火裡火裡去
晚娘的拳头，云里的日头,晚娘的拳頭，雲裡的日頭
一块羊肉落在狗口里,一塊羊肉落在狗口裡
不知葫芦里卖甚么药,不知葫蘆裡賣甚麼藥
丑媳妇总得要见公婆,醜媳婦總得要見公婆
火里火去，水里水去,火裡火去，水裡水去
吃着碗里，看着锅里,吃著碗裡，看著鍋裡
肐膊折了往袖子里藏,肐膊折了往袖子裡藏
钟在寺里，声在外边,鐘在寺裡，聲在外邊
羊群里跑出骆驼来,羊群裡跑出駱駝來
肐膊只折在袖子里,肐膊只折在袖子裡
河里淹死是会水的,河裡淹死是會水的
狗口里吐不出象牙,狗口裡吐不出象牙
狗嘴里吐不出象牙,狗嘴裡吐不出象牙
虾蟆跳在戥盘子里,蝦蟆跳在戥盤子裡
唐胖子吊在醋缸里,唐胖子吊在醋缸裡
葫芦里卖的甚么药,葫蘆裡賣的甚麼藥
卖炭的掉在面缸里,賣炭的掉在麵缸裡
一个锅里吃饭的,一個鍋裡吃飯的
一块石头掉井里,一塊石頭掉井裡
八千里路云和月,八千里路雲和月
大象口里拔生牙,大象口裡拔生牙
马蹄刀瓢里切菜,馬蹄刀瓢裡切菜
奶妈怀里的孩子,奶媽懷裡的孩子
羊肉落在狗嘴里,羊肉落在狗嘴裡
老鸹窝里出凤凰,老鴰窩裡出鳳凰
耳朵里冒出脚来,耳朵裡冒出腳來
冷灰里爆出火来,冷灰裡爆出火來
放之四海而皆准,放之四海而皆準
河里孩儿岸上娘,河裡孩兒岸上娘
狗嘴里还有象牙,狗嘴裡還有象牙
挑得篮里便是菜,挑得籃裡便是菜
哪里摔倒哪里爬,哪裡摔倒哪裡爬
眼泪往肚子里流,眼淚往肚子裡流
袖里来，袖里去,袖裡來，袖裡去
黑云压城城欲摧,黑雲壓城城欲摧
墙里开花墙外香,牆裡開花牆外香
羹里不着饭里着,羹裡不著飯裡著
枪杆子里出政权,槍桿子裡出政權
汤里来，水里去,湯裡來，水裡去
绵中刺，笑里刀,綿中刺，笑裡刀
鲁般手里调大斧,魯般手裡調大斧
三月里的桃花,三月裡的桃花
大虫口里倒涎,大蟲口裡倒涎
云端里看厮杀,雲端裡看廝殺
公门里好修行,公門裡好修行
公墓里放鞭炮,公墓裡放鞭炮
东净里的砖儿,東淨裡的磚兒
外明不知里暗,外明不知裡暗
头巾吊在水里,頭巾弔在水裡
龙无云而不行,龍無雲而不行
丢入爪哇国里,丟入爪哇國裡
吊桶落在井里,吊桶落在井裡
老虎嘴里拔牙,老虎嘴裡拔牙
屁股里吃人参,屁股裡吃人參
肚儿里有勾当,肚兒裡有勾當
表壮不如里壮,表壯不如裡壯
缸里的酱萝卜,缸裡的醬蘿蔔
茅厕里的石头,茅廁裡的石頭
笋里不知茆里,筍裡不知茆裡
通俗常言疏证,通俗常言疏證
棉花店里歇工,棉花店裡歇工
羹里来饭里去,羹裡來飯裡去
瘫子掉在井里,癱子掉在井裡
粪坑里的石头,糞坑裡的石頭
粪缸里掷骰子,糞缸裡擲骰子
鸡蛋里挑骨头,雞蛋裡挑骨頭
鸦窝里出凤凰,鴉窩裡出鳳凰
儿不嫌母丑,兒不嫌母醜
大海里捞针,大海裡撈針
门缝里看人,門縫裡看人
丑人多作怪,醜人多作怪
云端里老鼠,雲端裡老鼠
云麾将军碑,雲麾將軍碑
巴尔干山脉,巴爾幹山脈
巴尔干半岛,巴爾幹半島
毛司里砖儿,毛司裡磚兒
毛厕里砖儿,毛廁裡磚兒
冷锅里爆豆,冷鍋裡爆豆
没地里巡检,沒地裡巡檢
肚子里点灯,肚子裡點燈
阴沟里翻船,陰溝裡翻船
刺头泥里陷,刺頭泥裡陷
庙里的猪头,廟裡的豬頭
松了一口气,鬆了一口氣
准噶尔盆地,準噶爾盆地
疾行无善迹,疾行無善跡
唯物辩证法,唯物辯證法
被窝里放屁,被窩裡放屁
棺材里伸手,棺材裡伸手
税捐稽征处,稅捐稽徵處
窨子里秋月,窨子裡秋月
燕云十六州,燕雲十六州
糖堆里养的,糖堆裡養的
饭店里买葱,飯店裡買蔥
一发千钧,一髮千鈞
一争两丑,一爭兩醜
九霄云外,九霄雲外
三师七证,三師七證
三征七辟,三徵七辟
三媒六证,三媒六證
千钧一发,千鈞一髮
土里土气,土裡土氣
大古里彩,大古裡彩
小里小气,小裡小氣
干巴疵咧,乾巴疵咧
干父之蛊,幹父之蠱
干的停当,幹的停當
广雅疏证,廣雅疏證
才能干济,才能幹濟
门里出身,門裡出身
门里安心,門裡安心
不干不净,不乾不淨
不干性油,不乾性油
丑女效颦,醜女效顰
丑头怪脸,醜頭怪臉
丑声四溢,醜聲四溢
丑声远播,醜聲遠播
云山雾罩,雲山霧罩
云屯雨集,雲屯雨集
云开见日,雲開見日
云仙杂记,雲仙雜記
云出无心,雲出無心
云龙风虎,雲龍風虎
云兴霞蔚,雲興霞蔚
云合雾集,雲合霧集
云收雨散,雲收雨散
云收雾散,雲收霧散
云行雨施,雲行雨施
云形定规,雲形定規
云南白药,雲南白藥
云南回变,雲南回變
云南起义,雲南起義
云南黄馨,雲南黃馨
云消雨散,雲消雨散
云消雾散,雲消霧散
云笈七签,雲笈七籤
云起龙骧,雲起龍驤
云情雨意,雲情雨意
云梦大泽,雲夢大澤
云淡风轻,雲淡風輕
云程发轫,雲程發軔
云蒸霞蔚,雲蒸霞蔚
云麾勋章,雲麾勛章
云翻雨覆,雲翻雨覆
云谲波诡,雲譎波詭
云贵高原,雲貴高原
云阶月地,雲階月地
匹马只轮,匹馬隻輪
天干物燥,天乾物燥
尤云殢雨,尤雲殢雨
开云见日,開雲見日
心长发短,心長髮短
心细如发,心細如髮
文身断发,文身斷髮
斗酒只鸡,斗酒隻雞
无征不信,無徵不信
无迹可寻,無跡可尋
月地云阶,月地雲階
月里嫦娥,月裡嫦娥
毛里拖毡,毛裡拖氈
水光云影,水光雲影
水里纳瓜,水裡納瓜
水逝云卷,水逝雲卷
火里火发,火裡火發
片云遮顶,片雲遮頂
片言只语,片言隻語
车尘马迹,車塵馬跡
车辙马迹,車轍馬跡
风兴云蒸,風興雲蒸
风里杨花,風裡楊花
风卷残云,風捲殘雲
风虎云龙,風虎雲龍
风起云布,風起雲布
风起云涌,風起雲湧
风起云蒸,風起雲蒸
风靡云涌,風靡雲湧
风靡云蒸,風靡雲蒸
风举云摇,風舉雲搖
风轻云净,風輕雲淨
风轻云淡,風輕雲淡
出乖弄丑,出乖弄醜
出乖露丑,出乖露醜
发上冲冠,髮上衝冠
发上指冠,髮上指冠
发引千钧,髮引千鈞
发光可鉴,髮光可鑑
发指眦裂,髮指眥裂
